,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Importer,Name,Price,Province,Rating,Region,Reviewer,Reviewer Twitter Handle,Subregion,User Avg Rating,Variety,Vintage,Winery
0,14%,"Barbaresco, Piedmont, Italy",750 ml,Red, Italy,6/1/2019,"Fragrant and refined, this stunning red opens with captivating aromas of woodland berry, rose, violet, ground spice and a whiff of new leather. On the firm, elegantly structured palate, taut refined tannins intertwine with succulent red cherry, crushed raspberry, licorice and chopped herb while fresh acidity lends balance. It's already tempting but still young so give the tannins a few more years to unwind. Drink 2021–2034.",Asili Riserva,Vias Imports,Produttori del Barbaresco 2014 Asili Riserva  (Barbaresco),$68, Piedmont,97,Barbaresco,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2014,Produttori del Barbaresco
1,14%,"Barbaresco, Piedmont, Italy",750 ml,Red, Italy,6/1/2019,"Wild berry, fragrant blue flower, baking spice and a balsamic note of menthol shape the nose. Structured and focused, the tense palate delivers juicy red cherry, raspberry compote, star anise and cinnamon while taut, fine-grained tannins and bright acidity provide the backbone. It has a youthfully austere finish that promises great aging potential. Drink 2022–2036.",Montefico Riserva,Vias Imports,Produttori del Barbaresco 2014 Montefico Riserva  (Barbaresco),$68, Piedmont,97,Barbaresco,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2014,Produttori del Barbaresco
2,14%,"Barbaresco, Piedmont, Italy",750 ml,Red, Italy,6/1/2019,"Forest floor, new leather, rose and red-berry aromas mingle with a whiff of camphor. Youthfully austere, the taut palate shows serious aging potential, presenting juicy cherry, cranberry, star anise and orange slice set against tightly knit, noble tannins and firm acidity. Drink 2022–2034.",Rabajà Riserva,Vias Imports,Produttori del Barbaresco 2014 Rabajà Riserva  (Barbaresco),$68, Piedmont,97,Barbaresco,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2014,Produttori del Barbaresco
3,14%,"Barbaresco, Piedmont, Italy",750 ml,Red, Italy,6/1/2019,"Forest floor, red-skinned berry, leather and tobacco aromas mingle with a balsamic note. The focused, structured palate delivers juicy Morello cherry, raspberry compote and licorice while a graphite note backs up the finish. A backbone of fine-grained tannins and bright acidity gives it an age-worthy structure. Drink 2021–2034.",Montestefano Riserva,Vias Imports,Produttori del Barbaresco 2014 Montestefano Riserva  (Barbaresco),$68, Piedmont,96,Barbaresco,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2014,Produttori del Barbaresco
4,14%,"Barbaresco, Piedmont, Italy",750 ml,Red, Italy,6/1/2019,"New leather, camphor, red-berry and rose aromas lead the way on this vibrant red. The medium-bodied palate offers sour cherry, pomegranate and white pepper accompanied by bright acidity and polished fine-grained tannins that lead to a firm finish.",Rio Sordo Riserva,Vias Imports,Produttori del Barbaresco 2014 Rio Sordo Riserva  (Barbaresco),$68, Piedmont,95,Barbaresco,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2014,Produttori del Barbaresco
5,14%,"Barbaresco, Piedmont, Italy",750 ml,Red, Italy,6/1/2019,"Lovely aromas of perfumed berry, rose petal, aromatic herb and baking spice set the tone on this fragrant red. The ethereally elegant, medium-bodied palate is all about finesse and balance, delivering succulent red cherry, juicy raspberry, cinnamon and a dash of white pepper. It's nicely balanced, with polished tannins and fresh acidity. It's already accessible but will also age well over the next several years or more. Drink through 2026.",Ovello Riserva,Vias Imports,Produttori del Barbaresco 2014 Ovello Riserva  (Barbaresco),$68, Piedmont,94,Barbaresco,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2014,Produttori del Barbaresco
6,14%,"Barbaresco, Piedmont, Italy",750 ml,Red, Italy,6/1/2019,"Menthol, woodland-berry and crushed herb aromas slowly take shape on this fragrant red. The savory palate doles out juicy Morello cherry, cranberry and licorice while bright acidity and polished tannins provide seamless support. Drink through 2029.",Pora Riserva,Vias Imports,Produttori del Barbaresco 2014 Pora Riserva  (Barbaresco),$68, Piedmont,94,Barbaresco,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2014,Produttori del Barbaresco
7,14%,"Barbaresco, Piedmont, Italy",750 ml,Red, Italy,6/1/2019,"Violet, wild-berry and ground clove aromas take center stage while the medium-bodied palate shows juicy cherry, raspberry compote and star anise. Vibrant acidity and refined tannins provide an elegant framework. Drink 2021–2031.",Pajè Riserva,Vias Imports,Produttori del Barbaresco 2014 Pajè Riserva  (Barbaresco),$68, Piedmont,94,Barbaresco,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2014,Produttori del Barbaresco
8,14%,"Barbaresco, Piedmont, Italy",750 ml,Red, Italy,6/1/2019,"Elegantly structured, this vibrant wine opens with aromas of underbrush, rose petal, red woodland berry and a whiff of new leather. The graceful palate boasts great energy and is delicately delicious, delivering juicy red cherry, pomegranate, star anise and white pepper. Polished tannins show some grip on the lingering finish. Drink 2020–2029.",Muncagota Riserva,Vias Imports,Produttori del Barbaresco 2014 Muncagota Riserva  (Barbaresco),$68, Piedmont,93,Barbaresco,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2014,Produttori del Barbaresco
9,14%,"Barbaresco, Piedmont, Italy",750 ml,Red, Italy,6/1/2019,"Aromas of truffle, smoke, leather and wild berry take center stage. Boasting an earthy elegance, the medium-bodied palate offers dried cherry, cranberry, star anise and a hint of game set against grainy tannins that leave a firm drying finish. It's still rather austere and needs a few more years to unwind. Drink 2021–2027.",Marcarini,Volio Vino,Rivetto 2015 Marcarini  (Barbaresco),$41, Piedmont,92,Barbaresco,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2015,Rivetto
10,15%,"Sforzato di Valtellina, Lombardy, Italy",750 ml,Red, Italy,6/1/2019,This opens with aromas of steeped prune and baking spice that carry over to the full-bodied palate along with cherries marinated in spirits and star anise. Fine-grained tannins provide the framework and lend finesse.,Infinito,Gran Fondo Wine,Scerscè 2013 Infinito  (Sforzato di Valtellina),$45, Lombardy,91,Sforzato di Valtellina,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2013,Scerscè
11,13%,"Valtellina Superiore, Lombardy, Italy",750 ml,Red, Italy,6/1/2019,"Aromas of ripe red berry, baking spice and a whiff of pressed violet lift out of the glass. Ethereal and savory, the bright racy palate offers crushed strawberry, red cherry and white pepper alongside lithe silky tannins and vibrant acidity. It's rather light bodied but delicious. Drink through 2022.",Essenza,Gran Fondo Wine,Scerscè 2014 Essenza  (Valtellina Superiore),$27, Lombardy,90,Valtellina Superiore,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2014,Scerscè
12,12%,"Valtellina, Lombardy, Italy",750 ml,Red, Italy,6/1/2019,"Aromas of red cherry, crushed rock and a whiff of camphor shape the nose. It's bright and supple, offering juicy strawberry, alpine herb, star anise and a hint of graphite alongside lithe tannins. It's easygoing and savory and made to be enjoyed young so drink soon.",Nettare,Gran Fondo Wine,Scerscè 2016 Nettare  (Valtellina),$19, Lombardy,90,Valtellina,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2016,Scerscè
13,12.5%,"Vino Spumante, Italy Other, Italy",750 ml,Sparkling, Italy,6/1/2019,"Made with Nebbiolo, this bright sparkler offers delicate aromas of wild berry, bread crust, crushed aromatic herb and a hint of acacia honey. The aromas carry over to the vibrant palate along with citrus zest and ginger set against a lively continuous perlage. It's balanced, with fresh acidity.",Punte dei Tre Ciabot Brut,Vitis Imports,Cascina Ballarin NV Punte dei Tre Ciabot Brut Nebbiolo (Vino Spumante),$30, Italy Other,90,Vino Spumante,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,,Cascina Ballarin
14,13.5%,"Vino Spumante, Italy Other, Italy",750 ml,Sparkling, Italy,6/1/2019,"Toasted bread crust, orchard fruit, wild berry and crushed herb aromas carry over to the vibrant palate along with citrus zest and bitter walnut. A racy perlage and firm acidity provide lively support.",Metodo Classico Dosaggio Zero Kaskal,Volio Vino,Rivetto NV Metodo Classico Dosaggio Zero Kaskal Nebbiolo (Vino Spumante),$45, Italy Other,90,Vino Spumante,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,,Rivetto
15,12.5%,"Vino Spumante, Italy Other, Italy",750 ml,Sparkling, Italy,6/1/2019,"Aromas of bread crust, hazelnut, citrus and wild herb are front and center. On the racy linear palate, a lively perlage and vibrant acidity underscore white cherry, nectarine and tangerine.",Metodo Classico Nebolé Dosaggio Zero,Taub Family Selections,Travaglini 2013 Metodo Classico Nebolé Dosaggio Zero Nebbiolo (Vino Spumante),N/A, Italy Other,89,Vino Spumante,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2013,Travaglini
16,12.5%,"Vino Spumante, Italy Other, Italy",750 ml,Sparkling, Italy,6/1/2019,"The nose is rather shy but eventually yields suggestions of yellow stone fruit, bread crust and a whiff of grilled herb. The aromas carry over to the vibrant palate along with cedar and orange zest. A bitter almond note marks the close.",Metodo Classico Punta Extra Brut,Southern Glazer's Wine and Spirits,Franco Conterno NV Metodo Classico Punta Extra Brut Nebbiolo (Vino Spumante),N/A, Italy Other,88,Vino Spumante,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,,Franco Conterno
17,13%,"Vino Spumante, Italy Other, Italy",750 ml,Sparkling, Italy,6/1/2019,"This lightly hued, onion-colored wine has aromas reminiscent of dried herb, bread crust and toasted nut. The firm racy palate offers acacia honey, candied citrus zest and dried exotic fruit alongside a bitter walnut note. It also has vibrant acidity and lively, steely bubbles.",Brut Rosé,Elixir Wine Group,Enzo Boglietti NV Brut Rosé Nebbiolo (Vino Spumante),$37, Italy Other,88,Vino Spumante,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,,Enzo Boglietti
18,13%,"Vino Spumante, Italy Other, Italy",750 ml,Sparkling, Italy,6/1/2019,"Truffle, burnt match, toasted bread crust and grilled herb aromas lead the nose. On the racy palate, thyme and bitter walnut accent smoke and pomegranate alongside a lively perlage and bright acidity. It ends on a slightly candied note.",Metodo Classico Traverse Extra Brut,1_No Submitting Co,La Kiuva NV Metodo Classico Traverse Extra Brut Nebbiolo (Vino Spumante),N/A, Italy Other,86,Vino Spumante,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,,La Kiuva
19,16%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,5/1/2019,"This bottling from Luna Matta Vineyard was fermented in amphora and remains very young, with structure and acidity needing much more patience. Aromas of wet river stone, lilacs and bright red fruit lead into an herbal-laced palate of bright raspberry. Drink 2021–2036.",Dione.8.Nh4,,Desparada 2016 Dione.8.Nh4 Nebbiolo (Paso Robles),N/A, California,92, Central Coast,Matt Kettmann,@mattkettmann,Paso Robles,Not rated yet [Add Your Review],Nebbiolo,2016,Desparada
20,N/A,"Vino Rosso d'Italia, Italy Other, Italy",750 ml,Red, Italy,3/1/2019,"Young and juicy, this bright red opens with aromas of wild red berry, tilled soil and dark culinary spice. It's vibrant and savory, delivering mouthfuls of juicy black cherry, crushed strawberry, white pepper and clove framed in lithe tannins. Drink now to capture the succulent fruit.",Longitudine 8.26,T. Edward Wines Ltd,Villa Guelpa 2016 Longitudine 8.26 Nebbiolo (Vino Rosso d'Italia),$22, Italy Other,89,Vino Rosso d'Italia,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2016,Villa Guelpa
21,14.5%,"Barbaresco, Piedmont, Italy",750 ml,Red, Italy,2/1/2019,"Rose, violet, red-berry and baking-spice aromas mingle with a whiff of menthol on this compelling gorgeous red. The vibrant full-bodied palate is all about flair and finesse, delivering crushed raspberry, Marasca cherry, licorice and a hint of tobacco framed in taut fine-grained tannins. Young and intense, it will be ideal after a few more years of aging but will continue to develop for decades. Drink 2023–2040.",Costa Russi,Terlato Wines International,Gaja 2015 Costa Russi  (Barbaresco),$485, Piedmont,99,Barbaresco,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2015,Gaja
22,14.5%,"Barbaresco, Piedmont, Italy",750 ml,Red, Italy,2/1/2019,"Dark-skinned berry, pipe tobacco, a hint of menthol and a whiff of blue flower slowly take shape in the glass. Full bodied, with the firm's hallmark finesse, the smooth savory palate boasts succulent morello cherry, raspberry compote, star anise, clove and crushed mint. It has great length and is impeccably balanced, with fine-grained tannins and fresh acidity. Gorgeous. Drink 2022–2035.",Sorì San Lorenzo,Terlato Wines International,Gaja 2015 Sorì San Lorenzo  (Barbaresco),$485, Piedmont,98,Barbaresco,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2015,Gaja
23,14%,"Barbaresco, Piedmont, Italy",750 ml,Red, Italy,2/1/2019,"Woodland berry, blue flower, sunbaked soil and a whiff of dark spice shape the nose. Structured and extremely elegant, the focused, impeccable palate doles out juicy red cherry, strawberry, baking spice and star anise set against taut polished tannins that provide seamless support. It's well balanced, with fresh acidity. It's already tempting but hold for even more complexity. Drink 2022–2032.",,Terlato Wines International,Gaja 2015  Barbaresco,$195, Piedmont,96,Barbaresco,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2015,Gaja
24,14.5%,"Barbaresco, Piedmont, Italy",750 ml,Red, Italy,2/1/2019,"Enticing aromas of star anise, blue flower, wild berry, menthol and a whiff of new leather all come together on this gorgeous elegantly structured red. The full-bodied creamy palate doles out ripe Marasca cherry, raspberry compote, baking spice, licorice and tobacco framed in fine-grained tannins that offer seamless support. It's balanced, with fresh acidity. Drink 2022–2035.",Ovello Vigna Loreto,de Grazia Imports LLC,Albino Rocca 2015 Ovello Vigna Loreto  (Barbaresco),$60, Piedmont,96,Barbaresco,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2015,Albino Rocca
25,13.5%,"Gattinara, Piedmont, Italy",750 ml,Red, Italy,2/1/2019,"Underbrush, leather, dark spice and menthol aromas shape the nose on this radiant red along with forest berry. The vibrant chiseled palate mirrors the nose, evoking wild strawberry, Marasca cherry, licorice and chopped mint. Firm polished tannins and bright acidity lend balance and tension. It's a stunning wine, loaded with class and finesse. Drink 2023–2038.",Osso San Grato,"Skurnik Wines, Inc",Antoniolo 2013 Osso San Grato  (Gattinara),$90, Piedmont,96,Gattinara,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2013,Antoniolo
26,14.5%,"Barbaresco, Piedmont, Italy",750 ml,Red, Italy,2/1/2019,"Full-bodied and focused, this gorgeous wine opens with enticing scents of dark-skinned berry, pipe tobacco, truffle, new leather and a whiff of camphor. Savory and structured, the palate presents succulent red cherry, raspberry compote, licorice and baking spice accompanied by firm fine-grained tannins. It's well balanced, with fresh acidity. Drink 2021–2033.",Boito Riserva,The Sorting Table,Rizzi 2013 Boito Riserva  (Barbaresco),$100, Piedmont,96,Barbaresco,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2013,Rizzi
27,14%,"Barbaresco, Piedmont, Italy",750 ml,Red, Italy,2/1/2019,"This offers aromas of exotic spice, fragrant blue flower, dark-skinned fruit and menthol. On the savory palate, taut fine-grained tannins support mature black cherry, blood orange, licorice, vanilla and hint of game while fresh acidity lends tension. Drink 2023–2030.",Faset,Kobrand,Michele Chiarlo 2015 Faset  (Barbaresco),$85, Piedmont,95,Barbaresco,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2015,Michele Chiarlo
28,14%,"Barbaresco, Piedmont, Italy",750 ml,Red, Italy,2/1/2019,"The nose is initially shy but slowly reveals wild berry, exotic incense, aromatic herb and a whiff of toast. The firm palate is more expressive and is all about elegance, delivering crushed red cherry, raspberry compote, cinnamon and star anise while taut, fine-grained tannins provide support. It's extremely young but already tempting so hold for even more complexity and to let the tannins unwind. Drink 2023–2035.",Cottà,"Skurnik Wines, Inc",Sottimano 2015 Cottà  (Barbaresco),$65, Piedmont,95,Barbaresco,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2015,Sottimano
29,14.5%,"Barbaresco, Piedmont, Italy",750 ml,Red, Italy,2/1/2019,"Enticingly fragrant, this radiant red has lovely aromas of woodland berry, violet, new leather, aromatic herb and a whiff of pipe tobacco. Firmly structured, the vibrant focused palate delivers juicy Marasca cherry, crushed strawberry, licorice and clove framed in taut, fine-grained tannins. Drink 2023–2035.",Pajorè,"Skurnik Wines, Inc",Sottimano 2015 Pajorè  (Barbaresco),$65, Piedmont,95,Barbaresco,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2015,Sottimano
30,13.5%,"Gattinara, Piedmont, Italy",750 ml,Red, Italy,2/1/2019,"Licorice, clove, new leather and tobacco aromas mingle with rose, chopped herb and woodland berry. Structured and savory, the vibrant, precise palate shows juicy Marasca cherry, cranberry, star anise and menthol alongside youthfully assertive but elegant tannins. An iron note lingers on the close. Drink 2023–2038.",San Francesco,"Skurnik Wines, Inc",Antoniolo 2013 San Francesco  (Gattinara),$74, Piedmont,95,Gattinara,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2013,Antoniolo
31,14.5%,"Barbaresco, Piedmont, Italy",750 ml,Red, Italy,2/1/2019,"This opens with aromas of ripe berry, crushed herb, scorched soil and dark culinary spice. Mirroring the nose, the firm full-bodied palate evokes juicy Marasca cherry, black raspberry, star anise and clove. Taut, tightly knit and noble tannins provide the framework. Give it time to unwind and fully develop. Drink 2023–2035.",Rabajà,Leonardo LoCascio Selections–The Winebow Group,Giuseppe Cortese 2015 Rabajà  (Barbaresco),$65, Piedmont,95,Barbaresco,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2015,Giuseppe Cortese
32,14%,"Barbaresco, Piedmont, Italy",750 ml,Red, Italy,2/1/2019,"Enticing scents of dark spice, menthol, wild berry, new leather and a whiff of violet are front and center. It's structured, savory and shows real aging potential, delivering juicy raspberry, red cherry, licorice and tobacco. Taut noble tannins and fresh acidity provide support. It's still young and youthfully austere so give it time to fully develop. Drink 2023–2035.",Roncaglie,The Source Imports,Poderi Colla 2015 Roncaglie  (Barbaresco),N/A, Piedmont,95,Barbaresco,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2015,Poderi Colla
33,14.5%,"Barbaresco, Piedmont, Italy",750 ml,Red, Italy,2/1/2019,"This fragrant red has classic varietal aromas of wild rose, red berry, dark spice and a whiff of camphor. It's full bodied and polished, delivering juicy red cherry, strawberry compote, star anise and white pepper alongside taut refined tannins. It's still young, with great tension so give it time to develop even more complexity. Drink 2023–2030.",Gallina,Vino Direct,Ugo Lequio 2015 Gallina  (Barbaresco),$48, Piedmont,95,Barbaresco,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2015,Ugo Lequio
34,14.5%,"Barbaresco, Piedmont, Italy",750 ml,Red, Italy,2/1/2019,"Classic Nebbiolo aromas of woodland berry, rose petal, iris, pipe tobacco and an earthy whiff of new leather make for a compelling fragrance. The polished structured palate delivers juicy Marasca cherry, raspberry compote, star anise and baking spice set against firm fine-grained tannins. Bright acidity gives it balance and tension. Drink 2022–2032.",Albesani Vigna Borgese,T. Edward Wines Ltd,Piero Busso 2014 Albesani Vigna Borgese  (Barbaresco),$56, Piedmont,95,Barbaresco,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2014,Piero Busso
35,14.5%,"Barbaresco, Piedmont, Italy",750 ml,Red, Italy,2/1/2019,"New leather, exotic spice, camphor and fragrant blue-flower aromas mingle with an earthy whiff of underbrush. On the savory palate, taut tightly knit fine-grained tannins and bright acidity provide the backbone for juicy red cherry, cranberry, licorice and cinnamon. It's still young and primary so give it a few more years to fully develop. Drink 2022–2034.",San Stunet,T. Edward Wines Ltd,Piero Busso 2014 San Stunet  (Barbaresco),$60, Piedmont,95,Barbaresco,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2014,Piero Busso
36,14.5%,"Barbaresco, Piedmont, Italy",750 ml,Red, Italy,2/1/2019,"Wild berry, scorched earth, star anise, crushed herb and a whiff of toasted hazelnut pave the way on this poised full-bodied red. The structured palate boasts remarkable elegance, evoking juicy Marasca cherry, black raspberry, licorice and graphite alongside fine-grained tannins. Fresh acidity keeps it well balanced and imparts youthful tension. Drink 2022–2035.",Sorì Tildin,Terlato Wines International,Gaja 2015 Sorì Tildin  (Barbaresco),$485, Piedmont,95,Barbaresco,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2015,Gaja
37,14.5%,"Barbaresco, Piedmont, Italy",750 ml,Red, Italy,2/1/2019,"Intense aromas of rose, woodland berry, dark spice and an earthy whiff of new leather are some of the aromas you'll find on this fragrant full-bodied red. Boasting ripe fruit and energy, the polished, structured palate doles out juicy red cherry, crushed raspberry, star anise and white pepper. Firm refined tannins and fresh acidity provide an age-worthy structure. Drink 2022–2035.",Nervo,The Sorting Table,Rizzi 2015 Nervo  (Barbaresco),$65, Piedmont,95,Barbaresco,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2015,Rizzi
38,14.5%,"Barbaresco, Piedmont, Italy",750 ml,Red, Italy,2/1/2019,"This fragrant and structured red opens with alluring scents of crushed rose, baking spice, wild berry and a whiff of menthol. Full bodied and elegant, the focused palate delivers succulent red cherry, crushed strawberry, orange zest, licorice and white pepper framed in taut refined tannins. Fresh acidity lends tension and keeps it balanced. Give it time to fully develop. Drink 2023–2035.",Rio Sordo,Polaner Selections,Cascina delle Rose 2015 Rio Sordo  (Barbaresco),$55, Piedmont,95,Barbaresco,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2015,Cascina delle Rose
39,14%,"Barolo, Piedmont, Italy",750 ml,Red, Italy,2/1/2019,"Aromas of underbrush, dark berry, new leather and a whiff of camphor waft out of the glass. The tense chiseled palate evokes Marasca cherry, raspberry, star anise and a hint of cinnamon alongside polished fine-grained tannins and vibrant acidity. Drink 2022–2032.",Conteisa,Terlato Wines International,Gaja 2014 Conteisa  (Barolo),$250, Piedmont,95,Barolo,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2014,Gaja
40,14%,"Barbaresco, Piedmont, Italy",750 ml,Red, Italy,2/1/2019,"Beautiful aromas of fragrant blue flower, rose, perfumed berry and dark spice form the nose. Juicy and elegantly structured, the savory focused palate doles out ripe Marasca cherry, black raspberry, licorice and a hint of tobacco. Taut polished tannins provide the framework while fresh acidity lends balance. Drink 2022–2035.",Pajorè,The Sorting Table,Rizzi 2015 Pajorè  (Barbaresco),$65, Piedmont,95,Barbaresco,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2015,Rizzi
41,14%,"Barbaresco, Piedmont, Italy",750 ml,Red, Italy,2/1/2019,"Fragrant and focused, this offers tantalizing aromas of rose, violet, woodland berry and Asian incense. Firm and linear, the chiseled palate evokes red cherry, cranberry, star anise and a hint of white pepper set against tightly wound fine-grained tannins. It's still young and austere but balanced, with vibrant acidity. Give it ample time to fully develop. Drink 2023–2038.",Currà,"Skurnik Wines, Inc",Sottimano 2015 Currà  (Barbaresco),$72, Piedmont,95,Barbaresco,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2015,Sottimano
42,14.5%,"Barbaresco, Piedmont, Italy",750 ml,Red, Italy,2/1/2019,"Compelling aromas of fragrant blue flower, red berry, crushed herb, new leather and tilled earth shape the nose. On the savory, full-bodied palate, taut, fine-grained tannins and fresh acidity frame flavors of ripe Marasca cherry, raspberry compote, licorice and tobacco. It's young but already boasts a fantastic combination of elegance and structure. Drink 2022–2030.",Bordini,Wilson Daniels Ltd,Elvio Cogno 2015 Bordini  (Barbaresco),$64, Piedmont,94,Barbaresco,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2015,Elvio Cogno
43,14%,"Barbaresco, Piedmont, Italy",750 ml,Red, Italy,2/1/2019,"Chopped mint, fragrant blue-flower and woodland berry aromas form an alluring potpourri. Firmly structured but exceedingly elegant, the chiseled palate delivers juicy Marasca cherry, crushed raspberry, licorice and cake spice. Taut refined tannins and fresh acidity provide the framework. It's already almost accessible but will age well for years. Drink 2020–2030.",Nervo,MW Imports,Pertinace 2015 Nervo  (Barbaresco),$60, Piedmont,94,Barbaresco,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2015,Pertinace
44,14.5%,"Barbaresco, Piedmont, Italy",750 ml,Red, Italy,2/1/2019,"Forest floor, woodland berry, crushed herb and dark culinary-spice aromas set the tone. The tight focused palate offers crushed strawberry, red cherry, licorice and a hint of exotic spice while firm fine-grained tannins provide the backbone. Drink 2025–2035.",Angelo,de Grazia Imports LLC,Albino Rocca 2015 Angelo  (Barbaresco),$55, Piedmont,94,Barbaresco,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2015,Albino Rocca
45,14.5%,"Barbaresco, Piedmont, Italy",750 ml,Red, Italy,2/1/2019,"This stunning, structured red has lovely floral and spice aromas of iris, violet and cinnamon that take center stage while red berry and menthol float in the background. Full bodied and extremely elegant, the tight polished palate delivers ripe morello cherry, raspberry compote, star anise and nutmeg framed in taut, fine-grained tannins. Drink 2023–2035.",Cottà,de Grazia Imports LLC,Albino Rocca 2015 Cottà  (Barbaresco),$60, Piedmont,94,Barbaresco,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2015,Albino Rocca
46,14%,"Barbaresco, Piedmont, Italy",750 ml,Red, Italy,2/1/2019,"Delicate tantalizing scents of woodland berry, rose petal, iris and exotic spice mingle with new leather and a balsamic whiff of cedar. The palate is ethereal, delivering cranberry, red cherry, star anise, brown pepper and crushed herb alongside tight fine-grained tannins. It's still youthfully austere and needs time to come around and develop even more complexity. Drink 2025–2035.",Tre Stelle,Polaner Selections,Cascina delle Rose 2015 Tre Stelle  (Barbaresco),$60, Piedmont,94,Barbaresco,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2015,Cascina delle Rose
47,14.5%,"Barbaresco, Piedmont, Italy",750 ml,Red, Italy,2/1/2019,"Aromas of iris, rose red berry and baking spice lead the way. On the full-bodied but seemingly weightless palate, firm close-grained tannins support dried morello cherry, licorice and clove alongside a savory, almost salty note. Drink 2020–2030.",Ronchi,de Grazia Imports LLC,Albino Rocca 2015 Ronchi  (Barbaresco),$62, Piedmont,94,Barbaresco,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2015,Albino Rocca
48,14%,"Barbaresco, Piedmont, Italy",750 ml,Red, Italy,2/1/2019,"Fragrant blue flower, dark spice, perfumed berry and cedar are just some of the aromas you'll find on this elegant red. The structured savory palate delivers crushed raspberry, black cherry, blood orange, white pepper and licorice framed in taut, fine-grained tannins. Drink 2023–2035.",Asili,Kobrand,Michele Chiarlo 2015 Asili  (Barbaresco),$78, Piedmont,94,Barbaresco,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2015,Michele Chiarlo
